"","eigenvalue","percentage of variance","cumulative percentage of variance"
"comp 1",5.12738675567799,32.0461672229875,32.0461672229875
"comp 2",3.8937035271772,24.3356470448575,56.381814267845
"comp 3",1.74947035002587,10.9341896876617,67.3160039555066
"comp 4",1.48017278352385,9.25107989702406,76.5670838525307
"comp 5",0.902026242156718,5.63766401347949,82.2047478660102
"comp 6",0.729511763825137,4.55944852390711,86.7641963899173
"comp 7",0.47257920071828,2.95362000448925,89.7178163944066
"comp 8",0.404951653981613,2.53094783738508,92.2487642317916
"comp 9",0.379337400027568,2.3708587501723,94.6196229819639
"comp 10",0.272134198509189,1.70083874068243,96.3204617226464
"comp 11",0.240585969884411,1.50366231177757,97.8241240344239
"comp 12",0.136830183601182,0.855188647507385,98.6793126819313
"comp 13",0.0980849744117062,0.613031090073164,99.2923437720045
"comp 14",0.0625298985107547,0.390811865692217,99.6831556376967
"comp 15",0.0405550719922066,0.253469199951291,99.936624837648
"comp 16",0.0101400259763225,0.0633751623520155,100
