,Dim.1,Dim.2,Dim.3,Dim.4,Dim.5
Albertonectes vanderveldei,3.891881517,1.793727006,0.109187501,1.11657284,-2.22328461
Archaeonectrus rostratus,2.23451966,0.616325223,-1.222725006,0.104214477,0.487742212
Atopodentatus unicus,-0.672867236,-1.157674562,0.294994578,-0.406395863,-1.391633397
Attenborosaurus conybeari,2.427546055,0.410187869,-0.0062566,-0.636372964,-0.513689185
Atychodracon megacephalus,3.11316812,0.955653265,-0.741481249,0.586406897,1.044232411
Ceresiosaurus calcagnii,-0.352603877,-1.069523031,0.047169368,-0.824398071,-0.650678095
Cryptoclidus eurymerus,3.664631868,1.468451119,0.360345832,-0.403938641,-0.070144045
Cryptoclidus eurymerus_d,3.664631868,1.468451119,0.360345832,-0.403938641,-0.070144045
Diandongosaurus acutidentatus,0.199720803,-2.29756513,-0.258417137,-0.356602926,-0.744888371
Dianmeisaurus gracilis,-0.448317781,-2.207017064,-0.478812884,-0.46812253,-0.875584315
Dolichorhynchops osborni,2.708973915,1.224871292,-0.932537696,-1.680405076,0.259057284
Dolichorhynchops osborni_d,2.708973915,1.224871292,-0.932537696,-1.680405076,0.259057284
Hauffiosaurus zanoni,2.895059092,0.194781857,-0.343846447,-1.197946219,0.166931837
Hydrotherosaurus alexandrae,6.926212357,2.686034461,1.261190903,0.844353525,-0.089647343
Keichousaurus hui,0.102698462,-1.950095994,-0.199494737,-1.742614997,-0.544053753
Keichousaurus hui_d,0.102698462,-1.950095994,-0.199494737,-1.742614997,-0.544053753
Kronosaurus boyacensis,2.82852976,2.287450731,-3.335508882,0.749767876,0.697864567
Lariosaurus balsami,-0.421714718,-1.843478379,-0.753833184,-0.527982942,-1.062175601
Lariosaurus valceresii,-0.702223811,-1.581315665,-0.695182312,-0.83441837,-1.275616452
Lariosaurus xingyiensis,-0.987862227,-1.196953302,-0.977518207,-0.206707085,-1.580887717
Libonectes atlasense,4.838049029,2.644031734,1.466087959,0.859211062,-0.333245534
Liopleurodon ferox,2.560492429,1.847800289,-2.263699268,0.570991176,0.013092325
Liopleurodon ferox_d,2.560492429,1.847800289,-2.263699268,0.570991176,0.013092325
Meyerasaurus victor,4.734879134,0.535903034,1.047660372,-1.300195589,1.122414288
Microcleidus brachypterygius,5.020900967,0.158921527,1.26781385,-0.435004975,0.455512082
Morenosaurus stocki,2.732564596,2.594975916,0.23640144,1.005997475,-1.380253349
Muraenosaurus leedsii ,2.057411463,1.616965509,-0.409989591,0.654784709,-1.316877145
Muraenosaurus leedsii_d,2.057411463,1.616965509,-0.409989591,0.654784709,-1.316877145
Neusticosaurus edwardsii,-0.631520558,-1.017324354,0.718676912,-0.000572728,-0.509699147
Neusticosaurus peyeri,-0.255944451,-1.819887115,-0.436516586,-0.186973116,-0.110405887
Neusticosaurus pusillus,0.040373837,-1.620955089,-0.317564183,0.074631036,-0.403983428
Nichollssaura borealis,2.676763851,1.047485222,-0.690574788,-0.578296514,-0.222886655
Nothosaurus giganteus,-0.69867164,-1.20921511,-0.96867792,-0.782033691,-0.5735591
Nothosaurus giganteus_d,-0.69867164,-1.20921511,-0.96867792,-0.782033691,-0.5735591
Nothosaurus youngi,-0.669117616,-1.669546099,-0.522230555,-0.848952688,-0.778775674
Paraplacodus broilii,-0.533585894,-2.131546541,0.684356632,-0.502958115,0.909042002
Peloneustes philarchus,2.247224982,1.137636862,-1.675457591,-0.136017857,0.046423242
Placodus inexpectatus,-1.012197177,-1.808408341,0.400237764,-0.21124693,-0.443272558
Plesiopterys wildi,2.968026333,0.292454706,0.596588828,-0.303379637,-0.549321591
Plesiosaurus sp,2.104635608,0.787510229,0.570274993,0.456973347,-0.958344099
Polycotylus latipinnis,4.117145785,1.816102159,-0.639630772,-0.93823394,0.429933098
Polycotylus latipinnis_d,4.117145785,1.816102159,-0.639630772,-0.93823394,0.429933098
Psephochelys polyosteoderma,-0.682168965,-2.058059893,0.799916919,-0.55959281,0.529978481
Psephoderma alpinum,-1.05827095,-1.183771466,0.257281066,-0.282610364,0.401069792
Rhomaleosaurus cramptoni,2.749412052,1.387241758,-0.771184267,0.280404552,-0.030036422
Seeleyosaurus guilelmiimperatoris,2.928690834,-0.213149666,1.013108077,-0.696549061,-0.673482532
Serpianosaurus mirigiolensis,-0.695570533,-1.826070254,-0.537917501,0.112792757,0.136534468
Serpianosaurus mirigiolensis_d,-0.695570533,-1.826070254,-0.537917501,0.112792757,0.136534468
Sinocyamodus xinpuensis,-0.936756384,-2.10163845,0.667349575,-0.775955459,-0.369818823
Stenorhynchosaurus munozi,5.294834256,1.151990385,-2.027765982,-0.968360214,1.604296259
Styxosaurus sp,4.799065131,2.727065784,0.607195476,1.809750228,-1.468677074
Thalassiodracon hawkinsii,4.313330075,0.249590829,0.342625112,-0.277108366,0.882405485
Thalassomedon haningtoni,2.380525037,2.898470384,-0.387411319,1.622490862,-2.734863885
Wangosaurus brevirostris,0.418721919,-1.756925552,-0.491638351,-0.766781499,-0.759740793
Wumengosaurus delicatomandibularis,-0.954760003,-0.682306219,-0.074443798,0.637509246,-0.673754314
Yunguisaurus liae,1.74868885,-1.320884482,0.768371817,0.37559628,-0.324429154
Barracudasauroides panxianensis,-3.14249515,1.457680227,1.018425837,-0.269768649,0.406371404
Besanosaurus leptorhynchus,-1.421255095,2.151435004,1.366111491,2.611505741,0.407805141
Cartorhynchus lenticarpus,-3.080038008,0.591783549,1.409052524,0.135586581,1.772382011
Caypullysaurus bonapartei,-2.358629004,3.425394764,-1.371225469,-1.201668542,-1.181076493
Caypullysaurus bonapartei_d,-2.358629004,3.425394764,-1.371225469,-1.201668542,-1.181076493
Chaohusaurus brevifemoralis,-3.647245907,0.093182116,2.866214334,1.215967967,0.612347189
Chaohusaurus chaoxianensis,-3.108779761,0.137999092,2.074975299,1.113400658,1.336210517
Cryopterygius kristiansenae,-2.946986642,3.382497816,-1.681300085,-1.508625431,-0.975786015
Eretmophis carroldongi,-3.03493148,-0.212592662,2.445427537,-0.184494217,-0.323637126
Eurhinosaurus longirostris,-0.239603432,2.651653698,0.177944592,1.434242722,0.519787495
Excalibosaurus costini,-2.147351294,3.22315213,-0.371020475,-0.704404701,1.012670687
Guanlingsaurus lingae,-1.249212283,3.34087648,1.377991164,2.238119154,-0.227335138
Guizhouichthyosaurus tangae,0.275430732,2.61108289,0.620950074,2.604631524,1.064707897
Hauffiopteryx typicus,-3.030872268,2.720056763,-0.362730999,-1.584273893,0.137677266
Hupehsuchus nanchangensis,-3.759088723,-0.16496683,1.578855294,0.356825818,0.483418315
Ichthyosaurus communis   ,-1.956780304,2.043268036,-1.508945709,-1.609625466,0.552239207
Ichthyosaurus larkini,-1.620870629,1.718404902,-1.053021211,-1.122550961,-0.35822083
Ichthyosaurus somersetensis,-2.317717781,2.752284018,-0.952822347,-2.135990685,-0.376214287
Leptonectes tenuirostris,-1.010298724,2.577323609,-0.263470527,-1.599468107,1.613135084
Leptonectes tenuirostris_d,-1.010298724,2.577323609,-0.263470527,-1.599468107,1.613135084
Mixosaurus cornalianus,-3.50677827,2.005546019,1.431562916,-0.927869666,1.08658806
Mixosaurus cornalianus_d,-3.50677827,2.005546019,1.431562916,-0.927869666,1.08658806
Mixosaurus xindianensis,-3.462644262,1.942793503,1.336558812,-1.010403683,0.394050773
Mixosaurus xindianensis_d,-3.462644262,1.942793503,1.336558812,-1.010403683,0.394050773
Ophthalmosaurus icenicus,-3.938777363,4.409570468,-0.568980816,-2.952569718,-0.933453195
Ophthalmosaurus icenicus_d,-3.938777363,4.409570468,-0.568980816,-2.952569718,-0.933453195
Phalarodon atavus,-3.790357953,1.432289306,1.528488533,0.119301787,0.467135243
Phalarodon atavus_d,-3.790357953,1.432289306,1.528488533,0.119301787,0.467135243
Platypterygius hercynicus,-3.44929137,4.557614241,-1.589461548,-3.792982014,-0.816248404
Qianichthyosaurus zhoui,-0.059289523,1.139738612,0.581648013,1.197426752,1.296225469
Shonisaurus popularis,0.361957157,3.877101868,-0.47134536,3.123376887,1.232016908
Stenopterygius quadriscissus,-2.156721611,2.326065126,-1.044972957,-1.554587384,-0.280304489
Stenopterygius triscissus,-1.256858065,2.470734109,-0.274287795,1.642138356,1.271820689
Stenopterygius uniter,-0.772369429,2.997856998,-0.646693001,-0.724015408,0.64491523
Suevoleviathan integer,-0.9017552,2.064515389,-0.793810431,-0.866277026,1.724294081
Temnodontosaurus trigonodon,-0.392581649,2.986515743,-1.23720405,1.446636695,0.844166616
Utatsusaurus hataii,-3.126542841,-0.418554444,1.051914442,1.347567896,-0.025692277
Xinminosaurus catactes,-2.352172898,0.492234596,1.028246311,1.516847003,-0.38074396
Xinminosaurus catactes_d,-2.352172898,0.492234596,1.028246311,1.516847003,-0.38074396
Aigialosaurus bucchichi,-1.532528081,-1.807525422,-0.246462601,0.790995319,0.104877091
Clidastes prophyton,-3.515918836,0.657632834,0.810285398,0.666205172,-0.970666768
Halisaurus sternbergii,-1.848669339,0.087530158,0.195585619,1.012233753,-0.118533186
Mosasaurus lemonnieri,-2.424190822,1.700688885,0.913818618,1.840142399,-0.866935781
Platecarpus tympaniticus,-2.061137986,0.936312244,1.090875096,1.248441069,-0.37670861
Plotosaurus bennisoni,-1.298968804,1.770156776,0.800215251,2.714289326,0.424935982
Tylosaurus proriger ,-1.292620893,1.272492796,0.262464467,1.72024482,0.102361855
Archelon ischyros,2.33028288,0.453433369,2.95692661,-2.455718505,0.755932398
Eorhynchochelys sinensis,0.026251515,-1.90317377,0.653013789,0.435503457,0.414259267
Eorhynchochelys sinensis_d,0.026251515,-1.90317377,0.653013789,0.435503457,0.414259267
Eurysternum wagleri,-0.065971437,-1.726974398,0.748164177,-0.827002964,-1.375114856
Hoyasemys jimenezi,1.341994822,-1.629828259,1.684164928,-0.275279472,0.702139363
Idiochelys fitzingeri,0.695705742,-1.482628152,1.607035459,-0.695031341,0.074956176
Jeholochelys lingyuanensis,1.638572095,-1.839351347,1.141454684,-0.927265061,0.39601232
Jeholochelys lingyuanensis_d,1.638572095,-1.839351347,1.141454684,-0.927265061,0.39601232
Odontochelys semitestacea,-0.175496824,-1.594673504,0.694552231,-0.893937828,0.098340856
Odontochelys semitestacea_d,-0.175496824,-1.594673504,0.694552231,-0.893937828,0.098340856
Ordosemys liaoxiensis,1.083658573,-1.57396584,1.428054664,-0.716364321,-0.027742912
