"","Trunk","NECK_ratio","TAIL_ratio","LOWERJAW_ratio","BRACHIAL_index","Hum_Flare","FORELIMB_ratio","MANUS_ratio","MANUS_AR","CRURAL_index","FORE_HIND_.ratio","Fem_Flare","HINDLIMB_ratio","PES_ratio","PES_AR","MANUS_PES_ratio"
"Trunk",1,0.0974222676650928,-0.208282796021023,0.106671818312297,-0.358095169488114,0.526751817788387,-0.175991390088661,0.190372407261828,0.459523958416015,-0.266466841556084,0.185783192799494,0.57402520978503,-0.317162960821727,-0.100911245526899,0.315682678457876,0.281041535873871
"NECK_ratio",0.0974222676650928,1,-0.0693999285201982,-0.174534277430632,-0.321447132221025,-0.124056718696911,0.401738362626619,0.44176531261632,0.401874736397579,-0.220873787012557,-0.117797736844887,-0.0550303136115973,0.329791509959902,0.244748036213074,0.259905544258568,-0.205041833046512
"TAIL_ratio",-0.208282796021023,-0.0693999285201982,1,0.216821610159637,0.0336167729341718,-0.0576261813665078,-0.270102443281233,-0.317751084156516,-0.0624678155210329,-0.192260706127558,-0.227082659516393,-0.184781678158444,-0.14482317903582,-0.049096642747388,-0.0877079786996854,-0.126909004303289
"LOWERJAW_ratio",0.106671818312297,-0.174534277430632,0.216821610159637,1,-0.265153168867993,0.120136478717473,-0.138740844568154,-0.0377092224415843,0.156702936175774,-0.242315232492294,-0.0594104035000218,0.0507304947908501,-0.0697898897261284,-0.126702610559757,-0.0705588896983482,0.235037164566128
"BRACHIAL_index",-0.358095169488114,-0.321447132221025,0.0336167729341718,-0.265153168867993,1,-0.161318467453405,-0.102207761176529,-0.354245321035407,-0.426770333052053,0.778649487670608,0.00999965476147183,-0.107429461416215,0.121928950663023,-0.0341864960830236,-0.162925063649727,-0.259025050650794
"Hum_Flare",0.526751817788387,-0.124056718696911,-0.0576261813665078,0.120136478717473,-0.161318467453405,1,-0.284348262272889,0.191530352244156,0.23439510119476,-0.212378890387447,0.394090443480602,0.815100030039162,-0.556187415551434,-0.0836409693308679,0.00350443634842331,0.536129551223681
"FORELIMB_ratio",-0.175991390088661,0.401738362626619,-0.270102443281233,-0.138740844568154,-0.102207761176529,-0.284348262272889,1,0.799082411891081,0.192136891279842,0.115805179080904,0.0178703993826361,-0.230040537636055,0.729143349859208,0.569137115083832,0.0799461184995061,-0.25400301430508
"MANUS_ratio",0.190372407261828,0.44176531261632,-0.317751084156516,-0.0377092224415843,-0.354245321035407,0.191530352244156,0.799082411891081,1,0.524972478185415,-0.151875080222742,0.196086910876499,0.221438902468111,0.380231401379171,0.411928649854419,0.194210120579876,0.0307912455996817
"MANUS_AR",0.459523958416015,0.401874736397579,-0.0624678155210329,0.156702936175774,-0.426770333052053,0.23439510119476,0.192136891279842,0.524972478185415,1,-0.255439097386263,0.0698670167619364,0.343023093105723,0.0744337944678331,0.00257196659495221,0.58585772934569,0.00065155403770516
"CRURAL_index",-0.266466841556084,-0.220873787012557,-0.192260706127558,-0.242315232492294,0.778649487670608,-0.212378890387447,0.115805179080904,-0.151875080222742,-0.255439097386263,1,0.222790859974734,-0.0375856543526907,0.299219710010463,0.133165970453695,-0.0224114086026799,-0.225704078816119
"FORE_HIND_.ratio",0.185783192799494,-0.117797736844887,-0.227082659516393,-0.0594104035000218,0.00999965476147183,0.394090443480602,0.0178703993826361,0.196086910876499,0.0698670167619364,0.222790859974734,1,0.562951756209347,-0.372388602981085,-0.153089592858461,-0.218097730205726,0.529598722624175
"Fem_Flare",0.57402520978503,-0.0550303136115973,-0.184781678158444,0.0507304947908501,-0.107429461416215,0.815100030039162,-0.230040537636055,0.221438902468111,0.343023093105723,-0.0375856543526907,0.562951756209347,1,-0.460601797937115,-0.121408797367741,0.132194651938727,0.453682464497824
"HINDLIMB_ratio",-0.317162960821727,0.329791509959902,-0.14482317903582,-0.0697898897261284,0.121928950663023,-0.556187415551434,0.729143349859208,0.380231401379171,0.0744337944678331,0.299219710010463,-0.372388602981085,-0.460601797937115,1,0.487748453453117,0.287684937170151,-0.500032136788881
"PES_ratio",-0.100911245526899,0.244748036213074,-0.049096642747388,-0.126702610559757,-0.0341864960830236,-0.0836409693308679,0.569137115083832,0.411928649854419,0.00257196659495221,0.133165970453695,-0.153089592858461,-0.121408797367741,0.487748453453117,1,0.228594816983648,-0.325125095731333
"PES_AR",0.315682678457876,0.259905544258568,-0.0877079786996854,-0.0705588896983482,-0.162925063649727,0.00350443634842331,0.0799461184995061,0.194210120579876,0.58585772934569,-0.0224114086026799,-0.218097730205726,0.132194651938727,0.287684937170151,0.228594816983648,1,-0.298456285919074
"MANUS_PES_ratio",0.281041535873871,-0.205041833046512,-0.126909004303289,0.235037164566128,-0.259025050650794,0.536129551223681,-0.25400301430508,0.0307912455996817,0.00065155403770516,-0.225704078816119,0.529598722624175,0.453682464497824,-0.500032136788881,-0.325125095731333,-0.298456285919074,1
