"","eigenvalue","percentage of variance","cumulative percentage of variance"
"comp 1",4.03266046842966,25.2041279276853,25.2041279276853
"comp 2",3.48062925176448,21.753932823528,46.9580607512133
"comp 3",2.11839270355671,13.2399543972294,60.1980151484428
"comp 4",1.46862670777741,9.17891692360883,69.3769320720516
"comp 5",1.0163294629308,6.3520591433175,75.7289912153691
"comp 6",0.887333336021016,5.54583335013135,81.2748245655005
"comp 7",0.768827892231294,4.80517432644559,86.079998891946
"comp 8",0.485272622217331,3.03295388885832,89.1129527808044
"comp 9",0.447157192669917,2.79473245418698,91.9076852349913
"comp 10",0.383206249763015,2.39503906101885,94.3027242960102
"comp 11",0.332842057648411,2.08026286030257,96.3829871563128
"comp 12",0.211344071634824,1.32090044771765,97.7038876040304
"comp 13",0.145648848044935,0.910305300280846,98.6141929043113
"comp 14",0.108065841569375,0.67541150980859,99.2896044141198
"comp 15",0.0804293088925546,0.502683180578466,99.7922875946983
"comp 16",0.0332339848482696,0.207712405301685,100
