,Dim.1,Dim.2,Dim.3,Dim.4,Dim.5,Time,Time_2,Locomotion,Group_1,Group_2,Name,Num
Albertonectes vanderveldei,4.285218787,-0.222285264,0.087441643,-3.396903199,0.225160106,Cretaceous,1,Sauropterygia,Sauropterygia,Amniotes,Al.va,1
Archaeonectrus rostratus,1.614418972,0.505169417,1.062272317,0.096614298,-0.869264329,Jurassic,1,Sauropterygia,Sauropterygia,Amniotes,Ar.ro,2
Atopodentatus unicus,-0.638661225,-0.313071784,-0.007033671,-1.378044243,-0.719026276,Triassic,1,Sauropterygia,Sauropterygia,Amniotes,At.un,3
Attenborosaurus conybeari,2.440160958,-0.340484804,0.390379469,-0.626691518,-0.13682543,Jurassic,1,Sauropterygia,Sauropterygia,Amniotes,Att.co,4
Atychodracon megacephalus,2.469075084,0.735576746,0.86132454,0.279884765,-0.07119332,Jurassic,1,Sauropterygia,Sauropterygia,Amniotes,Aty.me,5
Ceresiosaurus calcagnii,-0.497129834,-0.562444324,0.692481165,-0.705045938,-0.781263217,Triassic,1,Sauropterygia,Sauropterygia,Amniotes,Ce.ca,6
Cryptoclidus eurymerus,3.127830637,-0.199616478,-0.21294721,0.166348231,-0.047933975,Jurassic,1,Sauropterygia,Sauropterygia,Amniotes,Cr.eu,7
Diandongosaurus acutidentatus,-0.781063612,-0.873530548,0.697621806,-0.84910279,-0.515882854,Triassic,1,Sauropterygia,Sauropterygia,Amniotes,Di.ac,8
Dianmeisaurus gracilis,-0.925646008,-0.771600293,0.844542668,-0.885389969,-0.049177701,Triassic,1,Sauropterygia,Sauropterygia,Amniotes,Di.gr,9
Dolichorhynchops osborni,2.248807396,0.300057257,0.616600538,0.948711378,-1.308107141,Cretaceous,1,Sauropterygia,Sauropterygia,Amniotes,Do.os,10
Hauffiosaurus zanoni,2.566754511,-0.565062119,0.812565144,0.259315695,-0.456347976,Jurassic,1,Sauropterygia,Sauropterygia,Amniotes,Ha.za,11
Hydrotherosaurus alexandrae,6.426840347,-0.752152151,0.00734968,-1.348635215,1.03292442,Cretaceous,1,Sauropterygia,Sauropterygia,Amniotes,Hy.al,12
Keichousaurus hui,-0.304551638,-1.304900565,1.448455175,-0.53106993,-0.266748107,Triassic,1,Sauropterygia,Sauropterygia,Amniotes,Ke.hu,13
Kronosaurus boyacensis,2.82507575,2.723429859,0.936528121,0.461924116,-1.750958738,Cretaceous,1,Sauropterygia,Sauropterygia,Amniotes,Kr.bo,14
Lariosaurus balsami,-0.970281218,-0.497672569,0.344707358,-0.526535746,-0.982857904,Triassic,1,Sauropterygia,Sauropterygia,Amniotes,La.ba,15
Lariosaurus valceresii,-0.70038197,-0.56219703,0.491583142,-0.784706558,-1.066601085,Triassic,1,Sauropterygia,Sauropterygia,Amniotes,La.va,16
Lariosaurus xingyiensis,-0.951897397,0.068595966,-0.272635499,-0.648875,-1.375726108,Triassic,1,Sauropterygia,Sauropterygia,Amniotes,La.xi,17
