Taxon,Trunk,NECK_ratio,TAIL_ratio,LOWERJAW_ratio,BRACHIAL_index,Hum_Flare,FORELIMB_ratio,MANUS_ratio,MANUS_AR,CRURAL_index,FORE_HIND_ ratio,Fem_Flare,HINDLIMB_ratio,PES_ratio,PES_AR,MANUS_PES_ratio,Time,Time_2,Locomotion,Group_1,Group_2
Alligator mississipiens,46,0.391,1.739,0.618,0.687,0.253,0.719,0.226,2.646,0.884,0.962,0.222,0.88,0.348,4.255,0.68,Extant,Extant,Undulation,Reptile,Amniotes
Amblyrhynchus cristatus,20.75,0.188,3.33,0.254,0.643,0.724,0.921,0.339,0.165,0.615,1.087,0.309,0.439,1.791,2.042,0.564,Extant,Extant,Undulation,Reptile,Amniotes
Andrias japonicus,17,0.137,0.588,0.257,0.526,0.37,0.254,0.068,0.797,0.559,1.003,0.359,0.305,0.116,2.489,1.066,Extant,Extant,Undulation,Amphibian,Amphibian
Aptenodytes patagonicus,14.37,1.872,0.861,0.727,0.727,0.31,1.469,0.602,4.929,1.585,1.068,0.194,1.857,0.641,2.279,0.408,Extant,Extant,Forelimb oscillation,Aves,Amniotes
Arctocephalus pusillus,54.03,0.648,0.266,0.229,1.025,0.334,1.069,0.416,2.844,2.157,1.988,0.494,1.043,0.536,3.983,0.845,Extant,Extant,Forelimb oscillation,Mammal,Amniotes
Arvicola terrestris,7.5,0.147,1.267,0.333,1.033,0.277,0.701,0.203,2.235,1.302,0.898,0.249,1.007,0.377,3.698,0.477,Extant,Extant,Paddling,Mammal,Amniotes
Bufo bufo,4.88,0.107,0.066,0.304,0.622,0.218,0.937,0.345,2.128,0.912,0.767,0.222,1.683,0.773,7.556,0.708,Extant,Extant,Rowing,Amphibian,Amphibian
Caiman latirostris,12.72,0.426,2.129,0.777,0.741,0.217,0.749,0.253,2.335,0.867,0.886,0.205,0.987,0.435,3.139,0.454,Extant,Extant,Undulation,Reptile,Amniotes
Castor canadiensis,34,0.131,1.265,0.358,1.247,0.445,0.663,0.198,2.086,1.222,0.749,0.313,1.101,0.509,3.982,0.289,Extant,Extant,Paddling,Mammal,Amniotes
Castor fiber,33.5,0.107,1.179,0.272,1.054,0.405,0.659,0.202,1.787,1.21,0.747,0.321,1.138,0.481,3.513,0.349,Extant,Extant,Paddling,Mammal,Amniotes
