,Dim.1,Dim.2,Dim.3,Dim.4,Dim.5
Alligator mississipiens,-1.268688837,-0.700384978,-0.522334522,0.300709675,0.898719056
Amblyrhynchus cristatus,-1.638710484,-0.401381436,0.773700123,-1.580737367,1.854132986
Andrias japonicus,0.579121652,-2.681861681,-0.177822106,-0.12634112,-1.952620365
Aptenodytes patagonicus,-3.85785446,2.939598886,1.799901167,-1.483295932,1.924825497
Arctocephalus pusillus,-1.566933878,0.377521126,5.159198767,0.654166695,0.38132005
Arvicola terrestris,-2.153095568,-1.740609415,1.272807403,0.950154844,0.351748194
Bufo bufo,-3.506588159,1.349506773,0.883446506,1.213057154,0.34087226
Caiman latirostris,-1.776672308,-1.072667274,-0.790515334,-0.494857517,1.720480248
Castor canadiensis,-2.107334203,-1.692471204,1.492760538,1.592759357,0.88508993
Castor fiber,-2.080693641,-1.624953473,1.375054883,1.147312265,0.315909225
Chelodina longicollis,-1.729809611,-0.905414325,0.586061805,-1.496978419,-1.64937205
Chelonia mydas,-0.536582463,2.337546367,2.485238145,-1.555626231,-0.596258946
Chelus fimbriata,-2.108474479,0.18751045,0.112498283,-1.120509834,-1.185549825
Chelydra serpentina,-1.224087335,-0.529296095,0.607554392,-1.182568723,-0.530925338
Chitra chitra,-0.804496751,-0.915072784,-0.095704347,-1.372779252,0.096818529
Cocodrylus porosus,-0.904283897,-0.912704774,-1.310269652,0.264577155,1.234000193
Cornufer guppyi,-4.592392884,1.345129165,0.729883532,0.553627653,1.332868091
Crocodylus intermedius,-1.461029788,-1.037186962,-1.303352638,-1.050114498,2.200693779
Cryptobranchus alleganiensis,-0.981308031,-1.4744572,-0.85445853,-1.98397561,-1.771232345
Dermochelys coriacea,0.250019965,1.66807026,2.286373074,-2.500735111,-0.041351877
Desmana moschata,-2.404773087,-1.652539222,2.244655148,0.922228907,2.31691449
Enhydra lutris,-1.383219416,-1.718607755,1.16847172,1.103784652,-1.146468538
Eremtochelys imbricata,-1.173771398,1.778415509,2.606026417,-2.624602204,-0.56623542
Eudyptes chrysocome,-3.452241472,1.414543321,1.599369342,-0.334967508,1.739329939
Halichoerus grypus,-1.053823504,-1.268029991,3.559391662,2.142274475,0.481130563
Hexaprotodon liberiensis,-1.173383277,-0.216696166,0.402995521,0.318377699,-0.896087174
Hippopotamus amphibus,-0.48291165,-0.94176517,0.689616799,1.281528871,-1.031552817
Hydrochoerus hydrochaeris,-1.550783561,-0.386107281,0.144852119,0.802757702,-0.865216345
Hydromys sp,-3.118782494,-1.296933731,0.39347045,1.33713355,1.287449318
Kinosternon acutum,-1.107642105,-1.165460018,0.616590588,-0.226702079,-1.902755018
Kinosternon subrubrum,-0.988022757,-1.336578965,0.805973122,-1.320719719,-1.706479556
Lissemys punctata,-1.314277385,0.152417901,0.019300131,-0.999781817,-1.556541117
Lutra lutra,-1.079330105,-1.521595663,1.277253558,0.128251856,-0.688523374
Mesoclemmys nasuta,-2.509162969,0.610213549,0.45768876,-1.444188837,-0.077992234
Miorunga leonina,0.375316856,-1.564975832,4.589187325,2.063946641,-0.358715609
Myocastor coypus,-3.13872704,-1.088438062,0.842506647,0.599853465,1.296114235
Neovison vison,-1.472605368,-0.289179007,0.375110355,1.753620032,-1.058327194
Odobenus rosmarus,0.069434627,-0.563723177,3.152557894,1.474043794,-0.906396223
Ondatra zybethicus,-2.672804245,-1.585602106,1.835988469,1.460632239,0.944947166
Ornithorhynchus anatinus,-1.029369754,-0.976252649,2.408823,0.431347009,1.725215994
Otaria byronia,-0.428296029,-0.147139826,4.182222228,1.057077276,-0.049248009
Phoca vitulina,-0.923666047,-0.50459316,3.0124549,2.749828599,0.100422603
Potamogale velox,-1.786035257,-0.205651448,-0.141068639,1.07602495,0.060508134
Pteronura brasiliensis,-0.916273393,-1.162510499,0.997244161,1.296734261,-0.674190301
Spheniscus demersus,-2.579330147,1.035768075,1.38930439,-0.843457346,1.123608481
Staurotypus triporcatus,-1.336377669,-0.282522193,0.553117452,-0.869513073,-0.719902361
Tapirus indicus,-1.420797598,0.080859218,0.812847601,1.38685055,-0.194276607
Tomistoma schlegelii,-1.211168003,-1.678516337,-1.232968037,-1.151315779,1.727864245
Tryonyx triunguis,-1.925590614,1.007032608,2.668478585,-1.724362352,2.180495065
Varanus niloticus,-0.876907387,-2.080613804,0.3363373,-0.31935731,0.052955641
Wangosaurus brevirostris,-1.055743117,-0.345825879,-1.316195138,-0.783776383,-0.775089901
Diandongosaurus acutidentatus,-1.410538953,-0.905846465,-1.193675711,-0.307657357,-0.834736779
Dianmeisaurus gracilis,-1.017951584,-1.288550477,-1.378626858,-0.539753871,-0.949530478
Placodus inexpectatus,-0.493691783,-1.518701886,-0.383979058,-0.14288354,-0.648673095
Wumengosaurus delicatomandibularis,0.518635093,-0.973992633,-0.547826213,0.73836807,-0.656344589
Nothosaurus giganteus,-0.129988479,-1.050382467,-1.264917918,-0.6035801,-0.498805899
Ceresiosaurus calcagnii,-0.252473195,-0.650296605,-0.485496271,-0.588133167,-0.913175171
Neusticosaurus edwardsii,-0.031833183,-0.804175761,-0.022829082,0.15105491,-0.958250897
Neusticosaurus peyeri,-0.746086867,-0.950019182,-1.227735966,-0.158252856,-0.325944116
Neusticosaurus pusillus,-0.791424885,-0.602883202,-1.177317905,0.083659506,-0.658673714
Paraplacodus broilii,-0.864535496,-1.126728041,-0.410928697,-0.782611376,0.533870233
Serpianosaurus mirigiolensis,-0.551142869,-1.230454492,-1.343231455,0.007778881,-0.070304751
Keichousaurus hui,-1.111302266,-0.728635536,-1.040518188,-1.769417858,-0.744082682
Lariosaurus balsami,-0.863723072,-1.211146652,-1.279650207,-0.285001217,-1.041482816
Lariosaurus valceresii,-0.539626609,-1.215352523,-1.227170645,-0.651706996,-1.365420592
Lariosaurus xingyiensis,-0.131237164,-1.386458736,-1.251816203,0.093925297,-1.459723247
Nothosaurus youngi,-0.621912103,-1.312115059,-0.985630457,-0.674209415,-0.754773616
Yunguisaurus liae,-1.216745286,0.946454654,-0.419110557,0.324223522,-0.562377695
Psephochelys polyosteoderma,-0.857362944,-1.323464237,-0.120123491,-0.560887279,0.053913332
Sinocyamodus xinpuensis,-0.950100549,-1.624171904,-0.121488468,-0.693195769,-0.57168366
Psephoderma alpinum,0.257820835,-1.223302575,-0.581281971,-0.482069899,0.222869782
Thalassiodracon hawkinsii,-1.097290749,3.737485081,-0.668484413,-0.30685718,0.456099239
Atychodracon megacephalus,0.077911477,3.01395346,-1.119747298,0.72120075,0.981001549
Archaeonectrus rostratus,0.173975899,2.065125741,-1.384622686,0.406597541,0.480073706
Attenborosaurus conybeari,-0.145142964,2.352574659,-0.686913995,-0.603465726,-0.632753993
Plesiosaurus sp,0.192692265,2.293260139,-0.114640572,0.592506323,-1.153691249
Hauffiosaurus zanoni,-0.600946915,2.531820193,-0.909567021,-1.041476229,-0.052405759
Meyerasaurus victor,-1.20837691,4.093326454,0.242193628,-1.146241616,0.710744402
Microcleidus brachypterygius,-1.50147746,4.409503026,-0.122937265,-0.597752322,-0.01603792
Rhomaleosaurus cramptoni,0.541877265,2.86383115,-0.84260174,0.696877274,0.062400925
Seeleyosaurus guilelmiimperatoris,-0.856614207,2.308125836,0.013256964,-0.644833622,-0.819512685
Plesiopterys wildi,-0.490388676,2.704590668,-0.339742568,-0.293655464,-0.770753302
Cryptoclidus eurymerus,0.216816373,3.654214655,-0.15620962,-0.241264183,-0.11665973
Liopleurodon ferox,1.134042702,2.626558737,-1.787470372,1.231222914,0.4073959
Muraenosaurus leedsii ,1.086322754,2.523949831,-0.71858527,0.901692672,-1.226843702
Peloneustes philarchus,0.661115753,2.115720322,-1.503405336,0.360851162,0.2880781
Kronosaurus boyacensis,1.50959337,3.212545177,-2.631153911,1.389376526,1.094212202
Nichollssaura borealis,0.350290684,2.55724041,-0.955982599,-0.297673892,-0.212794225
Thalassomedon haningtoni,2.007784588,3.562808268,-0.544516079,2.00161196,-2.412634411
Stenorhynchosaurus munozi,-0.706982118,4.578039518,-2.009289286,-0.410331187,1.498156026
Libonectes atlasense,0.657848903,5.654776664,0.328817678,0.49437605,-0.490452689
Polycotylus latipinnis,0.328596193,4.14120632,-0.870999684,-0.676720733,0.357524168
Styxosaurus sp,0.741785088,5.521675251,-0.178291107,1.924158833,-1.517594483
Albertonectes vanderveldei,0.487369545,4.551620367,-0.954573824,0.990457321,-2.25090853
Dolichorhynchops osborni,0.438121006,2.490297944,-0.848483867,-1.235417323,0.323945504
Hydrotherosaurus alexandrae,-0.282595175,7.310731963,0.024687884,0.690207567,-0.529204295
Morenosaurus stocki,1.612996388,3.649303525,-0.146579358,1.151426605,-1.252302142
Cartorhynchus lenticarpus,2.59072761,-1.540077358,0.842772009,-0.555017107,1.413534482
Utatsusaurus hataii,1.504287539,-2.28402757,0.560139895,1.10406817,-0.080207624
Chaohusaurus chaoxianensis,1.826593214,-1.801132205,1.496582426,0.691418822,0.95115889
Chaohusaurus brevifemoralis,1.900077862,-2.182140101,2.181536822,0.871344024,0.117006328
Xinminosaurus catactes,1.843301046,-1.223293741,0.673461748,1.494906605,-0.57616462
Mixosaurus cornalianus,3.626702612,-1.453403195,1.747418596,-1.023335306,0.847303233
Barracudasauroides panxianensis,3.025865777,-1.493907579,1.179658548,-0.358508185,0.327799961
Mixosaurus xindianensis,3.490083189,-1.514930318,1.679321312,-1.008211709,0.228402738
Phalarodon atavus,3.199620271,-1.98961002,1.601471876,-0.153776613,0.515682147
Besanosaurus leptorhynchus,3.077750932,0.438101196,0.950903061,2.293456741,0.385647483
Shonisaurus popularis,3.897241819,2.543241638,-0.015174037,3.232596616,1.629262753
Guanlingsaurus lingae,3.897342264,1.127693056,1.476933246,2.266794756,-0.135125878
Guizhouichthyosaurus tangae,2.669078053,1.869187199,0.472900791,2.504652348,1.04708616
Qianichthyosaurus zhoui,1.515562831,0.957322532,0.051131058,0.875452039,0.962965405
Suevoleviathan integer,2.961491328,0.343943973,-0.371924311,-1.011863225,1.956205035
