Taxon,Group,FAD,LAD,Age,Skull (Lower jaw),Neck (from edge of girdle),TRUNK,Time,Time_2,Time2,Time_3,Time3,Time_4,Time4
Albertonectes vanderveldei,Sauropterygia,76.27,72.05,74.16,46.3,700,188,Cretaceous,Late_Cretaceous,83.2,San-Maas,76.1,San-Maas,76.1
Archaeonectrus rostratus,Sauropterygia,199.6,190.82,195.21,62,90,95.6,Jurassic,Early_Jurassic,187.7,Het-Sin,196,Het-Sin,196
Aristonectes quiriquinensis,Sauropterygia,70.63,66.04,68.335,NA,350,400,Cretaceous,Late_Cretaceous,83.2,San-Maas,76.1,San-Maas,76.1
Atopodentatus unicus,Sauropterygia,247.2,242,244.6,12,35.41,78.58,Triassic,Mid_Triassic,242.1,Ani-Lad,242.1,Ani-Lad,242.1
Attenborosaurus conybeari,Sauropterygia,195.31,190.82,193.065,53,193.4,125.6,Jurassic,Early_Jurassic,187.7,Het-Sin,196,Het-Sin,196
Atychodracon megacephalus,Sauropterygia,201.1,200.85,200.975,82.25,136.07,124.41,Jurassic,Early_Jurassic,187.7,Het-Sin,196,Het-Sin,196
Avalonnectes arturi ,Sauropterygia,201.3,199.3,200.3,NA,69,54.5,Jurassic,Early_Jurassic,187.7,Het-Sin,196,Het-Sin,196
Bobosaurus forojuliensis,Sauropterygia,235.39,233.5,234.445,NA,89,98,Triassic,Late_Triassic,219.1,Car,232,Car,232
Brancasaurus brancai,Sauropterygia,141.93,139.39,140.66,30,138,75.9,Cretaceous,Early_Cretaceous,122.3,Ber-Bar,135,Ber-Alb,122.3
Callawayasaurus colombiensis ,Sauropterygia,125,122.98,123.99,NA,380,207,Cretaceous,Early_Cretaceous,122.3,Apt-Alb,113,Ber-Alb,122.3
Ceresiosaurus calcagnii,Sauropterygia,241.5,239.1,240.3,21,40.7,54.5,Triassic,Mid_Triassic,242.1,Ani-Lad,242.1,Ani-Lad,242.1
Colymbosaurus trochanterius,Sauropterygia,157.3,147.72,152.51,NA,200,160,Jurassic,Late_Jurassic,154.2,Kim-Tith,151.1,Oxf-Tith,154.2
Corosaurus alcovensis ,Sauropterygia,248.46,247.06,247.76,NA,25,50,Triassic,Early_Triassic,251,Ind-Ole,251,Ind-Ole,251
Corosaurus alcovensis_d,Sauropterygia,248.46,247.06,247.76,NA,25,50,NA,Mid_Triassic,242.1,Ani-Lad,242.1,Ani-Lad,242.1
Cryptoclidus eurymerus,Sauropterygia,166.1,161.2,163.65,35.6,108,99,Jurassic,Mid_Jurassic,168.8,Aal-Call,168.8,Aal-Call,168.8
Cryptoclidus eurymerus_d,Sauropterygia,166.1,161.2,163.65,35.6,108,99,NA,Late_Jurassic,154.2,Oxf,160.4,Oxf-Tith,154.2
Cryptoclidus eurymerus_dd,Sauropterygia,166.1,161.2,163.65,35.6,108,99,NA,Late_Jurassic,154.2,Kim-Tith,151.1,NA,NA
Cyamodus orientalis,Sauropterygia,233.5,228.35,230.925,NA,10.5,39.7,Triassic,Late_Triassic,219.1,Car,232,Car,232
Dactylosaurus schroederi,Sauropterygia,246.36,244.94,245.65,NA,4.5,6.5,Triassic,Mid_Triassic,242.1,Ani-Lad,242.1,Ani-Lad,242.1
Diandongosaurus acutidentatus,Sauropterygia,244.94,243.99,244.465,2.85,7.25,7.77,Triassic,Mid_Triassic,242.1,Ani-Lad,242.1,Ani-Lad,242.1
Dianmeisaurus gracilis,Sauropterygia,244.94,243.99,244.465,2.35,5.92,6.64,Triassic,Mid_Triassic,242.1,Ani-Lad,242.1,Ani-Lad,242.1
Dianopachysaurus dingi,Sauropterygia,244.94,243.99,244.465,2.67,4.07,3.75,Triassic,Mid_Triassic,242.1,Ani-Lad,242.1,Ani-Lad,242.1
