,Ind-Ole,Ani-Lad,Car,Nor-Rha,Het-Sin,Pli-Toa,Aal-Call,Oxf-Tith,Ber-Alb,Cen-Con,San-Maas
Median,30.69,30.9,54.65,40.25,78.6,90.175,135,42.2,71.55,58.633,145
Q1,19.025,18.6,39.175,19.3,65.805,67.5225,92.8,13.94125,14.425,31.475,89.31275
Q3,49.375,70,85.475,54.15,111.65,115.4,155.495,125.7,185.35,117.9525,204.5775
,,,,,,,,,,,
,,Median,Q1,Q3,,,,,,,
,Ind-Ole,30.69,19.025,49.375,,,,,,,
,Ani-Lad,30.9,18.6,70,,,,,,,
,Car,54.65,39.175,85.475,,,,,,,
,Nor-Rha,40.25,19.3,54.15,,,,,,,
,Het-Sin,78.6,65.805,111.65,,,,,,,
,Pli-Toa,90.175,67.5225,115.4,,,,,,,
,Aal-Call,135,92.8,155.495,,,,,,,
,Oxf-Tith,42.2,13.94125,125.7,,,,,,,
,Ber-Alb,71.55,14.425,185.35,,,,,,,
,Cen-Con,58.633,31.475,117.9525,,,,,,,
,San-Maas,145,89.31275,204.5775,,,,,,,
