,Ind-Ole,Ani-Lad,Car,Nor-Rha,Het-Sin,Pli-Toa,Aal-Call,Oxf-Tith,Ber-Alb,Cen-Con,San-Maas
Median,50,27.3,41.6,49.2,87.73,88.355,137.85,150.35,200,130.835,195
Q1,50,8.15,25.75,49.2,66,79.625,126,130.275,131.475,100.5175,140
Q3,50,53.375,64.15,49.2,117,141.5,150.775,165.25,290.625,150,210
,,,,,,,,,,,
,,,,,,,,,,,
,,Median,Q1,Q3,,,,,,,
,Ind-Ole,50,50,50,,,,,,,
,Ani-Lad,27.3,8.15,53.375,,,,,,,
,Car,41.6,25.75,64.15,,,,,,,
,Nor-Rha,49.2,49.2,49.2,,,,,,,
,Het-Sin,87.73,66,117,,,,,,,
,Pli-Toa,88.355,79.625,141.5,,,,,,,
,Aal-Call,137.85,126,150.775,,,,,,,
,Oxf-Tith,150.35,130.275,165.25,,,,,,,
,Ber-Alb,200,131.475,290.625,,,,,,,
,Cen-Con,130.835,100.5175,150,,,,,,,
,San-Maas,195,140,210,,,,,,,
