,Ind-Ole,Ani-Lad,Car,Nor-Rha,Het-Sin,Pli-Toa,Aal-Call,Oxf-Tith,Ber-Alb,Cen-Con,San-Maas
Mean,33.37,53.54405405,79.68153846,41.81818182,86.66928571,102.9241667,118.1557143,73.83527778,116.6247045,82.70042857,168.9620208
SD,18.70557196,65.27147894,83.5613589,27.64125787,30.6075183,54.74070292,57.10600431,73.81531246,113.0560637,79.38197904,106.7301073
,,,,,,,,,,,
,,Mean,SD,,,,,,,,
,Ind-Ole,33.37,18.70557196,,,,,,,,
,Ani-Lad,53.54405405,65.27147894,,,,,,,,
,Car,79.68153846,83.5613589,,,,,,,,
,Nor-Rha,41.81818182,27.64125787,,,,,,,,
,Het-Sin,86.66928571,30.6075183,,,,,,,,
,Pli-Toa,102.9241667,54.74070292,,,,,,,,
,Aal-Call,118.1557143,57.10600431,,,,,,,,
,Oxf-Tith,73.83527778,73.81531246,,,,,,,,
,Ber-Alb,116.6247045,113.0560637,,,,,,,,
,Cen-Con,82.70042857,79.38197904,,,,,,,,
,San-Maas,168.9620208,106.7301073,,,,,,,,
