,Ind-Ole,Ani-Lad,Car,Nor-Rha,Het-Sin,Pli-Toa,Aal-Call,Oxf-Tith,Ber-Alb,Cen-Con,San-Maas
Mean,50,32.60045455,49.26833333,49.2,87.82888889,110.8233333,138.925,145.175,205.25,146.0783333,196.1633333
SD,NA,27.75841039,31.21721606,NA,30.60917323,53.11937711,33.58009083,34.90638671,105.8080202,86.20122051,87.33344777
,,,,,,,,,,,
,,Mean,SD,,,,,,,,
,Ind-Ole,50,NA,,,,,,,,
,Ani-Lad,32.60045455,27.75841039,,,,,,,,
,Car,49.26833333,31.21721606,,,,,,,,
,Nor-Rha,49.2,NA,,,,,,,,
,Het-Sin,87.82888889,30.60917323,,,,,,,,
,Pli-Toa,110.8233333,53.11937711,,,,,,,,
,Aal-Call,138.925,33.58009083,,,,,,,,
,Oxf-Tith,145.175,34.90638671,,,,,,,,
,Ber-Alb,205.25,105.8080202,,,,,,,,
,Cen-Con,146.0783333,86.20122051,,,,,,,,
,San-Maas,196.1633333,87.33344777,,,,,,,,
