,Ichthyosauromorpha,Mosasauroidea,Pantestudines,Rhynchocephalia,Sauropterygia,Saurosphargidae,Tanystropheidae,Thalattosauria,Thalattosuchia
Mean,117.5480488,152.8793077,30.45774,20.31625,101.8805,95.7,42.81666667,48.05,60.97454545
SD,96.1223209,129.3214883,31.59779345,13.23072608,84.62743216,35.77960313,33.45819531,27.89664456,28.47656453
,,,,,,,,,
,,,,,,,,,
,,,Mean,SD,,,,,
,,Ichthyosauromorpha,117.5480488,96.1223209,,,,,
,,Mosasauroidea,152.8793077,129.3214883,,,,,
,,Pantestudines,30.45774,31.59779345,,,,,
,,Rhynchocephalia,20.31625,13.23072608,,,,,
,,Sauropterygia,101.8805,84.62743216,,,,,
,,Saurosphargidae,95.7,35.77960313,,,,,
,,Tanystropheidae,42.81666667,33.45819531,,,,,
,,Thalattosauria,48.05,27.89664456,,,,,
,,Thalattosuchia,60.97454545,28.47656453,,,,,
